time,state,gantry_pitch,gantry_pitch_vel,hip,knee,hip_body_world_z,hip_motor_world_z,foot_world_x,foot_world_y,foot_world_z,foot_rel_x,foot_rel_y,foot_rel_z,foot_vel_x_est,foot_vel_y_est,foot_vel_z_est,tau_hip,tau_knee,normal_force
0.0,0,0.0,0.5,0.35,-0.7,0.48,0.48,0.7,0.0,0.06667600634715329,0.0,0.0,-0.41332399365284667,0.0,0.0,0.0,0.8000000000000003,-0.6000000000000005,0.0
0.001,0,0.0005022730001017584,0.5045449357699663,0.3500104477627824,-0.7000147365567893,0.4796484092881612,0.4796484092881612,0.699792311007764,1.2727929528666415e-06,0.066325578726208,-0.00020760069506720047,1.2727929528666415e-06,-0.4133228305619532,-0.031153348835399886,0.00019091894292999623,-0.05256414314179225,0.7790310176023216,-0.5704586765971029,0.0
0.002,0,0.0010090778547651967,0.5090637307302074,0.350041382026576,-0.700058130719332,0.4792936459873113,0.4792936459873113,0.6995825722394929,5.090703719970446e-06,0.06597424747850433,-0.0004170713775655255,5.090703719970446e-06,-0.41331939850880695,-0.05794116175074249,0.0007349677165560675,-0.09737920882607443,0.7586956142456691,-0.5423354518336856,0.0
0.003,0,0.0015203889024856623,0.5135573416733973,0.350092019759091,-0.7001286277298099,0.47893572853703265,0.47893572853703265,0.6993707929410357,1.1451237056508967e-05,0.06562191625042241,-0.0006283980058203742,1.1451237056508967e-05,-0.41331381228661024,-0.0810168822567234,0.0015788025595534355,-0.13562201171445212,0.7389711890218779,-0.5155690982911497,0.0
0.004,0,0.0020361814156543614,0.5180266797503605,0.35016160622908105,-0.7002247419055068,0.4785746743462652,0.4785746743462652,0.6991569815703726,2.0349291747198683e-05,0.06526849387753961,-0.0008415673186810135,2.0349291747198683e-05,-0.4133061804687256,-0.10093605551766617,0.002676690379223878,-0.1682920658897043,0.7198360424009965,-0.49010093538823174,0.0
0.005,0,0.00255643155613057,0.5224726128854613,0.35024941390137776,-0.7003450537380019,0.47821050020630174,0.47821050020630174,0.698941146048461,3.177726870010056e-05,0.06491389377266699,-0.001056566583864882,3.177726870010056e-05,-0.41329660643363475,-0.11817097547675963,0.003989383365275577,-0.1962382717371418,0.7012693394417862,-0.4658747258217094,0.0
0.006,0,0.0030811163331560996,0.5268959680467855,0.350354741376648,-0.7004882071109402,0.4778432223203125,0.4778432223203125,0.6987232937833778,4.5725214227437805e-05,0.06455803371192098,-0.0012733835730510679,4.5725214227437805e-05,-0.41328518860839153,-0.13312316891772508,0.005483167689584827,-0.22018154008847127,0.683251074457533,-0.4428365760729194,0.0
0.007,0,0.0036102135634717503,0.5312975333809051,0.3504769123740943,-0.7006529066316883,0.4774728563313295,0.4774728563313295,0.6985034316932802,6.218095721645389e-05,0.06420083563181911,-0.0014920065381970327,6.218095721645389e-05,-0.4132720206995104,-0.14613400709470797,0.007129053984499516,-0.24073402109048145,0.6657620370848614,-0.42093484083323673,0.0
0.008,0,0.004143701833504912,0.5356780602213038,0.3506152747553833,-0.7008379150723606,0.477099417348782,0.477099417348782,0.6982815662282547,8.113024041728201e-05,0.06384222543673793,-0.0017124241890085212,8.113024041728201e-05,-0.413257191912044,-0.157493725784336,0.008902088366948807,-0.2584154471890866,0.648783779704623,-0.40012003120575923,0.0
0.009000000000000001,0,0.004681560463506227,0.5400382649788862,0.350769199588153,-0.701042050915863,0.4767229199736682,0.4767229199736682,0.6980577033911098,0.00010255684606627624,0.0634821328161182,-0.001934625671502821,0.00010255684606627624,-0.41324078715755,-0.16744909248840814,0.01078076595925562,-0.27366702320368286,0.6322985861653213,-0.3803447265445363,0.0
