t,foot_x,foot_y,foot_z,foot_vx_true,foot_vy_true,foot_vz_true,foot_vx_est,foot_vy_est,foot_vz_est,contact_normal_force,hip_tau,knee_tau,hybrid_state,hybrid_state_id,joint1_pos,joint1_vel_true,joint2_pos,joint2_vel_true,joint3_pos,joint3_vel_true,joint4_pos,joint4_vel_true,joint1_vel_est,joint2_vel_est,joint3_vel_est,joint4_vel_est
0.001,-0.7070962146589639,-0.06851174914061747,0.0016696829940986702,-0.03540506849037283,0.001989886669855667,0.17814856771563475,0.0,0.0,0.0,232.5732144154441,0.0,-0.0,STANCE,1,4.636353081358074e-05,0.0906195733230884,0.05990371031892448,-0.18792250025792934,0.00029576026053443604,0.5719334348644902,-0.0006071850794858967,-1.1822716179803916,nan,nan,0.0,0.0
0.002,-0.707147162826403,-0.06850700096035504,0.001926354711487388,-0.06548682492598151,0.008224740229305694,0.3304173703845257,0.0,0.0,0.0,198.86013264335995,1.906485925350879e-05,-4.674255543232198e-05,STANCE,1,0.00017720386987447146,0.16911381403382372,0.05963281008454985,-0.3497007041430997,0.001107276816215857,1.0338740634769423,-0.002304107532459765,-2.1824883650839,nan,nan,0.0,0.0
0.003,-0.7072256655102693,-0.06849457711794732,0.002323159435858313,-0.09066005491054613,0.01727140263048399,0.459097005830162,0.0,0.0,0.0,167.6911174013259,0.000125633263489897,-0.0001472657257722177,STANCE,1,0.0003808349643687144,0.23634027058892154,0.05921236309008413,-0.4873182267902273,0.0023311974527571184,1.3987614739644119,-0.004916216826358275,-3.014866170630394,nan,nan,0.0,0.0
0.004,-0.7073270528622545,-0.0684721829521979,0.002837688866906718,-0.11132702464757266,0.027927366923303998,0.5661954320425125,0.0014262158183324775,0.022420412358063416,0.0030621243558120043,139.05809488042956,0.0004443733535578932,-0.0001738105021710803,STANCE,1,0.0006464057039813852,0.29313148827169344,0.05866562025432998,-0.6025965158871167,0.0038763049553551063,1.6780553756139838,-0.008282317524708618,-3.692660131959519,nan,nan,0.0,-0.12351018259978191
0.005,-0.7074470247184727,-0.06843869723997739,0.003449317525945683,-0.12790088041250935,0.03926948857738466,0.6536074545211386,0.0014009552533960697,0.022082689269403516,0.0030651874762205183,112.94906603543104,0.001133020507075281,-3.4553901463816506e-06,STANCE,1,0.0009638940979769306,0.3403125773122603,0.0580140084110869,-0.6973593290095567,0.005662242733573261,1.8820507502203732,-0.012254371392569484,-4.228927619009212,nan,nan,0.0,-0.12168490896530237
0.006,-0.7075816950221134,-0.06839380140459776,0.004139264637145701,-0.14079518457397733,0.05060678267885477,0.7231303338996156,-0.0004635023659095615,-0.010891011519120336,0.006809414602762751,89.32576449200363,0.002239588241333416,0.0005327874459664627,STANCE,1,0.0013240982651506806,0.3786978639644749,0.05727713650752799,-0.7734156787886013,0.007618437861312452,2.020046102692268,-0.016697283944548395,-4.636492183350121,nan,nan,0.12351018259978191,-0.1198866098180319
0.007,-0.7077275878607894,-0.0683377686888173,0.004890502154889176,-0.1504154403813079,0.06143886494472084,0.7764739535375992,0.000966445219099476,0.011681729689830805,0.009955730429754029,68.12454627759831,0.004004165386124933,0.0017287683125622375,STANCE,1,0.0017186226318407054,0.40908476045207914,0.05647281945168146,-0.8325417527608424,0.009683178749132049,2.10048574224103,-0.021488648315690063,-4.9278957566657855,nan,nan,0.12168490896530237,-0.2416250691200104
0.008,-0.7078816258940912,-0.06827129205549944,0.005687670886700913,-0.1571523163759737,0.07141996384153959,0.8152670332157895,0.0023651164105450567,0.033902910385381034,0.013185090107894062,49.25827641073798,0.00639146906012696,0.0036738020429942695,STANCE,1,0.0021398591319266892,0.43224997240913016,0.055617119167260635,-0.8764646932557638,0.011802813750759145,2.1310605651516132,-0.026518432173377404,-5.115333818217595,nan,nan,0.1198866098180319,-0.3615644378904325
0.009000000000000001,-0.7080411126004433,-0.06819534570776238,0.006517000960627212,-0.16137603439274995,0.08032756934407237,0.8410597798505542,0.002331179429739763,0.033396624782306025,0.013142148833537277,32.61764992509961,0.009312367326722144,0.006071445607438749,STANCE,1,0.0025809637386937706,0.4489440162837197,0.05472440228870299,-0.9068456244909383,0.013931049091059902,2.1188068774091353,-0.03168860851790605,-5.210609022004559,nan,nan,0.11811488652022847,-0.35622112107431775
0.010000000000000002,-0.7082037106670322,-0.06811107509296128,0.007366234382935044,-0.16343424353892416,0.0880367138558279,0.8553255495211072,0.0019233844816032206,0.02271925832522971,0.02008829901451577,18.08491250578422,0.012053249431376305,0.009343843073850071,STANCE,1,0.0030358304298455027,0.45989162456485244,0.053807408544047794,-0.9252753501572558,0.016028285985843486,2.0700873620159888,-0.0369126805410357,-5.2249676527261695,nan,nan,0.23987952892513018,-0.47446695213112944
